Familia,Tipo,FechaCompleta,Porcentaje,Valor,BajasEmisiones
Renovable,Hidráulica,2019-04-24T00:00:00.000+02:00,0.15462041242499455,59195.278,true
Renovable,Hidráulica,2019-04-25T00:00:00.000+02:00,0.1558525460052619,61237.828,true
Renovable,Hidráulica,2019-04-26T00:00:00.000+02:00,0.22714489707577304,72762.566,true
Renovable,Hidráulica,2019-04-27T00:00:00.000+02:00,0.2980921544739643,71665.25,true
Renovable,Hidráulica,2019-04-28T00:00:00.000+02:00,0.25357374211344064,63891.766,true
Renovable,Hidráulica,2019-04-29T00:00:00.000+02:00,0.37045679141413523,79309.222,true
Renovable,Hidráulica,2019-04-30T00:00:00.000+02:00,0.3693879608419265,79043.951,true
Renovable,Hidráulica,2019-05-01T00:00:00.000+02:00,0.2658296817405958,65790.781,true
Renovable,Hidráulica,2019-05-02T00:00:00.000+02:00,0.18790809473307268,60145.885,true
Renovable,Hidráulica,2019-05-03T00:00:00.000+02:00,0.21579058169277515,62890.086,true
Renovable,Hidráulica,2019-05-04T00:00:00.000+02:00,0.21550573046368257,61320.945,true
Renovable,Hidráulica,2019-05-05T00:00:00.000+02:00,0.17940823070128153,54024.643,true
Renovable,Hidráulica,2019-05-06T00:00:00.000+02:00,0.3788592560546428,73665.167,true
Renovable,Hidráulica,2019-05-07T00:00:00.000+02:00,0.24345229912095445,64011.313,true
Renovable,Hidráulica,2019-05-08T00:00:00.000+02:00,0.13422414778523287,54963.716,true
Renovable,Hidráulica,2019-05-09T00:00:00.000+02:00,0.1878994301302774,63183.312,true
Renovable,Hidráulica,2019-05-10T00:00:00.000+02:00,0.2238348608041286,72405.099,true
Renovable,Hidráulica,2019-05-11T00:00:00.000+02:00,0.24011390952198652,64702.823,true
Renovable,Hidráulica,2019-05-12T00:00:00.000+02:00,0.17058185895906078,55055.521,true
Renovable,Hidráulica,2019-05-13T00:00:00.000+02:00,0.18740972593909277,60718.191,true
Renovable,Hidráulica,2019-05-14T00:00:00.000+02:00,0.261047466150548,64041.88,true
Renovable,Hidráulica,2019-05-15T00:00:00.000+02:00,0.2910050951982815,69272.652,true
Renovable,Hidráulica,2019-05-16T00:00:00.000+02:00,0.23605250660684776,62899.421,true
Renovable,Hidráulica,2019-05-17T00:00:00.000+02:00,0.14948752429101808,60631.528,true
Renovable,Hidráulica,2019-05-18T00:00:00.000+02:00,0.21514545593917958,59441.201,true
Renovable,Hidráulica,2019-05-19T00:00:00.000+02:00,0.21571044711493612,55578.994,true
Renovable,Hidráulica,2019-05-20T00:00:00.000+02:00,0.33348087656304426,67545.69,true
Renovable,Hidráulica,2019-05-21T00:00:00.000+02:00,0.3755981632302394,71209.292,true
Renovable,Hidráulica,2019-05-22T00:00:00.000+02:00,0.37425371673331226,69398.246,true
Renovable,Hidráulica,2019-05-23T00:00:00.000+02:00,0.3313254235936237,63438.745,true
